username,location,Anime-Watching,Anime-Completed,Anime-Total,Anime-Mean-Score,Manga-Reading,Manga-Completed,Manga-Total,Manga-Mean-Score
Brick55,,11,100,146,7.64,11,3,18,8.0
Jonezki,,127,88,341,7.41,76,4,83,8.0
Seanbr,,4,61,111,6.8,0,0,0,0.0
YazanMg,,0,9,10,8.33,0,1,1,10.0
DomesticOniisan,,17,208,279,9.75,14,11,33,9.57
FireFalcon243,,16,87,154,7.98,9,0,10,8.2
Marius10,,24,92,831,8.32,7,2,939,9.33
devindelo,,7,125,201,10.0,1,1,3,10.0
sigis,,50,223,397,9.79,56,4,65,10.0
Antilochus2,,9,448,559,6.74,6,18,26,7.33
isahbellah,Brazil,3,312,1355,6.7,7,128,1375,6.33
nummbr19,,5,42,70,7.62,0,0,0,0.0
Leoners,,6,595,675,8.94,0,0,0,0.0
Vinnycius007,,12,198,243,7.63,5,0,6,9.0
Delonso,,0,0,453,0.0,0,0,5,0.0
zthexshadow,,20,190,407,7.39,0,0,2,0.0
XtriiZ,,46,542,795,9.99,0,0,0,0.0
MrMelon03,Norway,7,183,858,6.82,7,1,26,8.0
chqrlie,,20,255,444,7.29,24,106,207,7.83
Advol,,30,647,899,9.15,0,0,10,0.0
blackfan321,"Belgorod, Russia",1,47,53,0.0,1,0,1,0.0
Raihyo,,7,81,112,8.3,0,1,2,8.5
-SMULES-,edac355d98d2a730174093b48db53bc6,15,64,154,8.19,84,35,120,8.51
mrcdvra,,0,0,0,0.0,0,0,0,0.0
misima49,,4,399,442,8.69,0,0,0,0.0
chicleeningles,,3,548,553,10.0,12,319,332,10.0
Amitte_Sukku,Poland,14,963,2412,7.16,16,62,775,7.67
hariettedesu,,0,42,42,8.6,0,2,4,0.0
Rose-Qozoqa,,19,369,502,7.6,6,7,17,8.85
ThundBlack002,"Rio de Janeiro, Brazil",28,148,426,6.86,5,1,74,8.67
Gantri,,3,323,385,7.82,0,0,0,0.0
Darnashal,,0,154,154,10.0,1,0,1,9.0
TheUchihaBlood,,3,16,43,0.0,0,0,0,0.0
Lssd,,10,268,339,6.04,5,19,35,7.38
Gyaradose,,2,223,356,7.62,0,2,3,8.5
iZytex,My House,44,640,927,7.38,1,25,78,7.55
_IneedAnime_,Singapore,23,216,388,7.35,20,5,28,7.22
_CzaCza_,,8,160,264,8.48,0,0,0,0.0
Kadzio,,5,213,295,0.0,0,0,0,0.0
rustic_fall,United States,2,53,95,7.09,0,1,1,10.0
Samsspace,,3,8,14,7.13,0,0,0,0.0
xxsaku26,,31,139,227,7.02,0,0,2,0.0
Pluto_Plasma,,17,119,166,10.0,2,1,4,0.0
frogsen,,18,313,371,10.0,0,0,0,0.0
KyootoDC,,9,409,568,7.21,17,15,34,7.89
Kenny_Stryker,A Place Further Than The Universe,13,794,882,8.29,35,75,112,8.53
budikk,Czech Republic,6,121,199,7.41,5,1,15,0.0
Nemer-M-A-S,Brasil ,14,161,216,6.7,7,0,7,8.0
Auri-chan,Poland,25,232,464,7.83,24,26,59,7.79
Sat13,Saint-Petersburg,9,701,2533,7.38,5,9,192,8.46
Slub77,,7,99,118,7.35,0,0,0,0.0
Aphrahodox,,6,1,8,8.0,3,0,3,0.0
ySpectroo,,5,74,171,7.51,1,0,2,8.0
Calamit,,10,75,110,8.51,0,4,4,8.25
Jean_Pierre,,0,3,79,0.0,0,0,0,0.0
emperordracula,Inferno,9,74,100,6.97,1,0,1,7.0
icaro_machado,,9,203,235,8.24,16,10,26,8.23
JonnyJo,,18,235,285,8.7,1,2,3,10.0
Krosgami,,2,200,313,10.0,26,18,79,0.0
pyesh,,6,137,221,7.76,8,1,10,0.0
dudostka,,0,4,4,0.0,0,0,0,0.0
Majdgh6,,4,0,4,0.0,0,0,0,0.0
Fran-ko,,28,366,493,9.25,8,15,24,8.0
ramdit,,15,124,167,6.85,0,0,0,0.0
OhZmAnnLP,,0,57,62,8.9,0,0,0,0.0
Peroroncino-sama,Milano,16,293,697,7.83,0,0,0,0.0
Brainsickness,Portugal,5,81,583,7.71,0,0,0,0.0
Berimbal,,12,112,215,7.82,21,15,71,8.29
Kanabrava2000,,8,133,155,7.66,60,30,110,8.26
Mini-meggie,,3,88,132,7.83,5,23,46,8.0
Not_Strange,,16,116,229,7.93,3,0,5,8.5
Bussers,,14,165,208,7.56,3,2,6,8.2
Grcia,,17,268,414,0.0,35,26,77,0.0
Azgar5991,Lisbon ,54,1164,1218,6.74,7,51,58,7.98
Boometon3,,3,0,23,0.0,0,0,1,0.0
